"from","to","value"
"gene10","gene20","0.0420269644313591"
"gene34","gene41","0.0419977159111041"
"gene12","gene33","0.0419747535396348"
"gene43","gene47","0.0419167076858962"
"gene19","gene33","0.041840653541609"
"gene44","gene49","0.0416856336347869"
"gene22","gene36","0.0414959195604114"
"gene21","gene43","0.0412984933937349"
"gene24","gene34","0.0411074835831721"
"gene12","gene19","0.0410075612932701"
"gene19","gene32","0.0409035158873663"
"gene19","gene27","0.0408667851504065"
"gene8","gene16","0.0407956693627439"
"gene2","gene49","0.0406796267744751"
"gene11","gene29","0.0406030417517228"
"gene21","gene25","0.0405807990735471"
"gene19","gene26","0.0404853699591435"
"gene14","gene40","0.0404699338374873"
"gene35","gene43","0.0403174234393106"
"gene8","gene40","0.0402411808045214"
"gene1","gene28","0.040101657352348"
"gene26","gene38","0.0400794863032551"
"gene27","gene41","0.0399775450482698"
"gene26","gene28","0.0397407935038863"
"gene2","gene35","0.0396854125104842"
"gene28","gene43","0.0396278208383512"
"gene7","gene33","0.039434480405244"
"gene6","gene32","0.0393097648091086"
"gene9","gene33","0.0393017874795067"
"gene32","gene41","0.039178785286129"
"gene24","gene27","0.0390597294992973"
"gene16","gene43","0.03892967325782"
"gene4","gene28","0.0388205706014343"
"gene4","gene32","0.0388169844693461"
"gene7","gene14","0.0385600884884102"
"gene26","gene48","0.0385264316335903"
"gene27","gene38","0.0384719434598614"
"gene42","gene49","0.0383909449913707"
"gene9","gene39","0.0382744965536138"
"gene21","gene34","0.0378213665885703"
"gene8","gene48","0.0378133753172868"
"gene18","gene36","0.0373268539282435"
"gene10","gene24","0.0372387507843951"
"gene1","gene39","0.0372211585023718"
"gene13","gene20","0.0372077646407053"
"gene19","gene35","0.0370742348109539"
"gene11","gene30","0.0370741697151727"
"gene2","gene18","0.0370678308700041"
"gene9","gene19","0.0370402364918955"
"gene13","gene40","0.036815648499028"
"gene20","gene34","0.0368128581997952"
"gene6","gene26","0.0367716309150136"
"gene41","gene47","0.0367087284751369"
"gene13","gene24","0.036684812993848"
"gene20","gene31","0.0366461198833059"
